segment_type,segment_value,loans,funded_exposure,defaults,default_rate,interest_received,net_recoveries,principal_recoveries_applied,gross_principal_shortfall,net_credit_loss,net_credit_loss_rate,observed_recovery_rate,observed_lgd_proxy,interest_income_rate_proxy,loss_to_interest_ratio,pricing_cushion_proxy,net_cash_return_proxy,net_cash_multiple
grade,G,2060,39844175.0,771,0.3742718446601942,16008020.469999999,1290333.564899888,1283675.6264998948,11129803.420000004,9846127.793500103,0.24711586558135795,0.1153367744297405,0.884663225570259,0.40176564002140835,0.6150746628511841,0.1546497744400504,0.15507164275594254,1.1550716427559424
grade,F,10349,170528000.0,3572,0.34515412117112765,65214422.05000007,5237117.274456184,5225305.083656181,44615167.01,39389861.92634383,0.23098764969004404,0.11711947828156703,0.8828805217184332,0.3824264757107341,0.604005382369923,0.15143882602069011,0.15167921570942067,1.1516792157094204
grade,E,32147,476933450.0,9454,0.2940865399570722,147604589.40000004,11024220.364154883,11024206.614154883,99592631.62999995,88568425.01584509,0.18570394887556133,0.11069299438849348,0.8893070056115068,0.30948676256614005,0.6000384227608919,0.12378281369057872,0.12395296281900474,1.1239529628190024
grade,D,87126,1106392575.0,20771,0.238401854785024,263192123.98000014,18909602.490513172,18906211.065313168,174739223.90000024,155833012.83468664,0.1408478476409575,0.10819672105292635,0.8918032789470711,0.23788312568890851,0.5920884351635398,0.09703527804795102,0.09719252651725235,1.097192526517248
grade,C,180210,2262553525.0,32994,0.18308639920093225,447414344.60000193,26606509.706515744,26599642.860525567,247963915.41999984,221364272.55947423,0.09783824785293167,0.10727223279835393,0.8927277672016459,0.19774751830456783,0.49476346753562106,0.09990927045163614,0.10003517921985822,1.1000351792198584
grade,B,220196,2773925800.0,25050,0.11376228451016367,408904864.10999805,18038703.76303547,18030810.25173548,170805722.08000007,152774911.82826447,0.05507534189568606,0.10556326821001003,0.8944367317899893,0.1474101665264435,0.37361969797250205,0.09233482463075746,0.09241205913145721,1.092412059131457
grade,A,144214,2001010075.0,7934,0.055015463131180053,193388720.09999973,5633355.518681896,5630455.986481873,53545042.519999996,47914586.53351813,0.023945200042792453,0.10515363741430966,0.8948463625856904,0.0966455504228282,0.2477630882956456,0.07270035038003574,0.07273920232249616,1.0727392023224989
purpose,small_business,8796,126021400.0,2179,0.2477262391996362,27206003.38,2183101.7117367457,2182561.3733367524,22624553.450000003,20441992.07666325,0.1622104823201714,0.09646870503588888,0.903531294964111,0.21588399573405787,0.7513779878337739,0.05367351341388646,0.05386747567228581,1.0538674756722861
purpose,educational,423,2754975.0,88,0.20803782505910165,423487.1599999999,33802.70742637711,33802.70742637711,406022.03,372219.32257362286,0.1351080581760716,0.08325338264620051,0.9167466173537994,0.15371724244321633,0.8789388622163253,0.01860918426714473,0.019106611340804866,1.0191066113408052
purpose,renewable_energy,515,4631375.0,104,0.20194174757281552,905840.3500000001,82630.9292000291,82630.9292000291,683205.1199999999,600574.1907999709,0.12967513768588612,0.1209460040346728,0.8790539959653273,0.19558777900731425,0.6630022506725063,0.06591264132142813,0.0660370178700908,1.0660370178700906
purpose,moving,4861,33839250.0,941,0.19358156757868752,6529645.960000004,464410.77387142344,464014.4764714234,4563019.72,4099005.243528576,0.12113168121422833,0.10169021940396598,0.898309780596034,0.1929607175099922,0.6277530617492428,0.07182903629576387,0.07207901134817717,1.0720790113481773
purpose,house,3034,41233975.0,562,0.1852340145023072,7903765.419999996,559117.724400247,559117.554400247,4825521.85,4266404.295599753,0.1034681787433725,0.11586675426622452,0.8841332457337756,0.19168089954946124,0.5397938917574499,0.08821272080608875,0.08834902215695314,1.0883490221569518
purpose,medical,7303,56207725.0,1274,0.17444885663425988,10291895.680000013,682723.1676002606,681850.9610002605,6512492.09,5830641.128999742,0.10373380401003139,0.10469893115835793,0.8953010688416424,0.18310464762628292,0.5665274221862046,0.07937084361625152,0.07955502359993577,1.0795550235999356
purpose,other,36799,316005775.0,6287,0.1708470338867904,62302756.22000015,3904617.977572253,3902897.398972253,35891246.879999995,31988349.481027737,0.10122710409652398,0.10874231848286942,0.8912576815171305,0.19715701784247502,0.5134339381081664,0.09592991374595104,0.09608975656131079,1.0960897565613115
purpose,vacation,4445,25238500.0,710,0.1597300337457818,4505593.0,302250.7593999957,302250.7593999957,2909250.0700000003,2606999.3106000037,0.10329454248865835,0.10389301439459814,0.8961069856054016,0.17852063315965688,0.5786140271879869,0.07522609067099853,0.07541723669806327,1.0754172366980628
